k[1/Mpc], k[h/Mpc], Delta2_lin, Delta2_nl, Delta2_nl_30
4.408817898013470539e-04,6.501722309413759081e-04,3.614736873169770939e-08,3.613116345074122106e-08,3.613116341154844411e-08
4.449632689275990908e-04,6.561912239014880410e-04,3.748687681602392830e-08,3.746991588481557984e-08,3.746991584369347359e-08
4.490825324945859221e-04,6.622659379067776225e-04,3.887592725278747721e-08,3.885817547988167475e-08,3.885817543689417034e-08
4.532399302931362285e-04,6.683968887968385654e-04,4.031634755242206021e-08,4.029776811014632490e-08,4.029776806527162447e-08
4.574358153522784377e-04,6.745845971866663198e-04,4.181003239366072493e-08,4.179058674220059003e-08,4.179058669525593298e-08
4.616705439692199452e-04,6.808295885108684928e-04,4.335894609793210376e-08,4.333859390589478327e-08,4.333859385665385299e-08
4.659444757396040524e-04,6.871323930682849725e-04,4.496512517859492107e-08,4.494382423989650468e-08,4.494382418823226608e-08
4.702579735880415873e-04,6.934935460670131092e-04,4.663068097699149151e-08,4.660838712390063487e-08,4.660838706989394650e-08
4.746114037989332011e-04,6.999135876698615909e-04,4.835780235833324348e-08,4.833446937051231675e-08,4.833446931413496184e-08
4.790051360475686766e-04,7.063930630402132788e-04,5.014875856702737020e-08,5.012433807635644802e-08,5.012433801737894018e-08
4.834395434315219542e-04,7.129325223883231340e-04,5.200590218640864949e-08,5.198034357739755108e-08,5.198034351553550563e-08
4.879150025023300556e-04,7.195325210180357305e-04,5.393167218594405157e-08,5.390492249153835466e-08,5.390492242663306541e-08
4.924318932974692956e-04,7.261936193739407849e-04,5.592859707149924684e-08,5.590060086407215017e-08,5.590060079622540005e-08
4.969905993726283491e-04,7.329163830889667049e-04,5.799929810403016901e-08,5.796999738136209692e-08,5.796999731053766864e-08
5.015915078342747567e-04,7.397013830324063004e-04,6.014649271382482635e-08,6.011582677980015497e-08,6.011582670570933604e-08
5.062350093725285312e-04,7.465491953583962325e-04,6.237299803906888326e-08,6.234090337884563123e-08,6.234090330113190680e-08
